episode,reward,length,success
385,3.1815,500,0
386,47.6921,500,0
387,19.5316,500,0
388,-3.8074,500,0
389,-25.7501,500,0
390,-98.0827,9,0
391,16.9403,500,0
392,7.3669,500,0
393,35.3560,500,0
394,7.8882,500,0
395,4.8964,500,0
396,2.5055,500,0
397,3.3539,500,0
398,3.7524,500,0
399,15.1369,500,0
400,24.2997,500,0
401,-27.8022,500,0
402,-14.5286,500,0
403,21.7551,500,0
404,7.0338,500,0
405,4.4317,500,0
406,8.8742,500,0
407,37.6246,500,0
408,-4.1902,500,0
409,-30.6085,500,0
410,45.7957,500,0
411,111.0784,436,1
412,-13.9633,500,0
413,6.9430,500,0
414,0.3865,500,0
415,33.9809,500,0
416,-26.6035,500,0
417,2.1741,500,0
418,-25.2178,500,0
419,-21.3546,500,0
420,-19.8954,500,0
421,-17.8177,500,0
422,27.6641,500,0
423,40.6499,500,0
424,38.4128,500,0
425,39.0583,500,0
426,-23.3925,500,0
427,-0.7570,500,0
428,136.4200,493,1
429,-10.4739,500,0
430,14.3504,500,0
431,10.6620,500,0
432,16.9118,500,0
433,13.9043,500,0
434,27.6599,500,0
435,-14.3318,500,0
436,152.4806,478,1
437,3.3924,500,0
438,-50.8028,500,0
439,27.5978,500,0
440,43.9742,500,0
441,32.3895,500,0
442,2.1485,500,0
443,4.3628,500,0
444,3.0357,500,0
445,5.1257,500,0
446,39.6559,500,0
447,-17.0411,500,0
448,-28.1835,500,0
449,-24.4409,500,0
450,-6.6229,500,0
451,-9.0987,500,0
452,-91.4955,385,0
453,13.4027,500,0
454,-16.0858,500,0
455,-97.1723,5,0
456,-13.4151,500,0
457,-6.0707,500,0
458,-2.4382,500,0
459,-29.1842,500,0
460,33.8323,500,0
461,-2.7400,500,0
462,-1.9363,500,0
463,46.6948,500,0
464,-6.7078,500,0
465,139.6077,484,1
466,-24.2631,500,0
467,149.2259,402,1
468,157.0583,500,1
469,-93.2500,17,0
470,11.6595,500,0
471,-1.5210,500,0
472,7.4508,500,0
473,27.9826,500,0
474,23.5354,500,0
475,126.2818,472,1
