episode,reward,length,success
641,-101.3942,141,0
642,-6.6758,500,0
643,-100.0140,175,0
644,-8.5978,500,0
645,-109.3570,330,0
646,-96.0709,307,0
647,-106.3245,387,0
648,-1.8051,500,0
649,-104.2572,172,0
650,-104.3434,141,0
651,-13.8619,500,0
652,-100.4269,279,0
653,-23.0871,500,0
654,-95.5680,355,0
655,1.5393,500,0
656,-99.9105,3,0
657,-102.6328,104,0
658,-4.8143,500,0
659,-100.6998,380,0
660,-105.3272,280,0
661,-100.7372,197,0
662,-100.2087,313,0
663,-22.1192,500,0
664,-16.2971,500,0
665,-92.6275,125,0
666,-105.4469,211,0
667,-99.3204,20,0
668,-115.2332,288,0
669,-89.2129,364,0
670,1.3864,500,0
671,-22.8593,500,0
672,-102.4839,349,0
673,-18.1637,500,0
674,-98.2441,262,0
675,2.7809,500,0
676,-97.9005,381,0
677,-9.3903,500,0
678,-100.9502,284,0
679,-20.4051,500,0
680,-103.3345,151,0
681,-16.0306,500,0
682,-100.6427,18,0
683,-94.5831,414,0
684,-16.2907,500,0
685,-28.0271,500,0
686,-101.4622,46,0
687,-100.9402,326,0
688,-100.5988,167,0
689,-29.5620,500,0
690,-119.7652,399,0
691,-10.2622,500,0
692,-33.7390,500,0
693,-106.2761,189,0
694,-102.9635,62,0
695,-114.2470,356,0
696,-116.7795,498,0
697,-37.1793,500,0
698,-16.1810,500,0
699,-103.9354,110,0
700,-17.0253,500,0
701,-13.9997,500,0
702,-5.5128,500,0
703,-116.5342,413,0
704,-17.1493,500,0
705,-103.2085,69,0
706,-27.5329,500,0
707,-10.0323,500,0
708,-118.0102,324,0
709,-23.3117,500,0
710,-107.6818,247,0
711,-21.4439,500,0
712,-17.2370,500,0
713,-26.6328,500,0
714,-29.7815,500,0
715,-42.4900,500,0
716,-33.1218,500,0
717,-39.1976,500,0
718,-20.7186,500,0
719,-11.0153,500,0
720,-108.5556,132,0
721,-100.3217,11,0
722,-9.7242,500,0
723,-13.4761,500,0
724,-23.1877,500,0
725,-25.6691,500,0
726,-113.1052,241,0
727,-32.8388,500,0
728,-37.0990,500,0
729,-100.1717,12,0
730,-35.8095,500,0
731,-19.2943,500,0
732,-19.5763,500,0
733,-103.6521,69,0
734,-27.6706,500,0
735,-27.8214,500,0
736,-6.6642,500,0
737,-116.2841,400,0
738,-5.0636,500,0
739,-23.5240,500,0
740,-109.7962,178,0
741,-23.2705,500,0
742,-106.0591,105,0
743,-24.4706,500,0
