episode,reward,length,success
576,-99.5940,1,0
577,-2.4391,500,0
578,156.6624,113,1
579,166.7911,133,1
580,175.7782,145,1
581,118.2777,123,1
582,25.8270,500,0
583,146.0244,275,1
584,168.8326,136,1
585,122.3909,123,1
586,-99.5159,2,0
587,176.3492,161,1
588,171.5737,223,1
589,134.7763,193,1
590,144.7763,143,1
591,127.3845,112,1
592,-99.2291,12,0
593,135.1684,115,1
594,-97.9711,9,0
595,154.5988,118,1
596,154.6757,149,1
597,-93.9906,14,0
598,152.1504,292,1
599,176.6379,166,1
600,159.9280,119,1
601,149.2455,113,1
602,159.2322,168,1
603,149.6757,95,1
604,-96.0098,10,0
605,144.2050,109,1
606,124.1451,114,1
607,141.8023,291,1
608,144.9903,167,1
609,147.8010,142,1
610,163.4997,136,1
611,175.9031,173,1
612,28.0137,500,0
613,172.6299,161,1
614,-99.5862,8,0
615,171.3092,159,1
616,144.9410,393,1
617,-85.6555,66,0
618,158.3567,136,1
619,13.3375,500,0
620,157.0617,125,1
621,143.0562,244,1
622,144.0610,121,1
623,6.2237,500,0
624,156.3829,111,1
625,168.2736,169,1
626,158.2956,174,1
627,151.3348,219,1
628,32.4975,500,0
629,-21.0331,500,0
630,119.1723,109,1
631,136.6303,114,1
632,177.6030,186,1
633,165.8737,134,1
634,139.1598,126,1
635,141.7088,103,1
636,147.5407,152,1
637,155.9783,322,1
638,158.3214,151,1
639,145.4126,160,1
640,145.6376,111,1
641,157.9854,118,1
642,141.2270,103,1
643,134.5868,91,1
644,172.3463,175,1
645,159.1745,153,1
646,119.0578,96,1
647,6.0584,500,0
648,154.0550,135,1
649,130.6152,135,1
650,158.1996,125,1
651,153.0532,196,1
652,153.4200,137,1
653,145.8451,172,1
654,146.2396,112,1
655,171.0503,162,1
656,119.4607,91,1
657,171.2857,146,1
658,155.3184,128,1
659,161.8794,134,1
660,145.2549,126,1
661,160.1736,114,1
662,127.1014,100,1
663,124.4367,99,1
664,155.5796,153,1
665,121.7362,79,1
666,157.7039,121,1
667,123.5069,86,1
668,155.0707,130,1
669,146.6532,99,1
670,-100.3006,11,0
671,20.4482,500,0
672,153.3549,135,1
673,164.8676,143,1
674,154.8484,133,1
675,138.4066,103,1
676,148.4524,106,1
677,144.7450,237,1
678,126.0261,82,1
679,130.8968,68,1
680,-26.9497,500,0
681,16.8262,500,0
682,151.2777,177,1
683,151.3915,91,1
684,157.2878,145,1
685,126.1436,118,1
686,163.6541,127,1
687,144.8455,153,1
688,130.4965,136,1
689,156.9116,109,1
690,154.7196,103,1
691,140.2291,478,1
692,-13.1955,500,0
693,171.5359,163,1
694,136.7514,89,1
695,128.4584,131,1
696,125.6074,99,1
697,148.0508,110,1
698,174.8560,150,1
699,156.8309,121,1
700,-98.7262,8,0
701,168.9555,137,1
702,153.9769,112,1
703,167.3809,157,1
704,152.0109,186,1
705,146.3921,119,1
706,172.5537,170,1
707,161.8513,126,1
708,150.7849,175,1
709,115.6605,426,1
710,-98.8011,3,0
711,122.0092,358,1
712,146.7761,133,1
713,134.4541,112,1
714,141.7034,105,1
715,134.0584,85,1
716,147.7777,96,1
717,154.3448,101,1
718,163.1224,129,1
719,139.1752,91,1
720,155.7488,119,1
721,148.4413,180,1
722,178.4482,160,1
723,159.1471,141,1
724,125.9379,84,1
725,173.1257,163,1
726,126.4915,81,1
727,140.0432,109,1
728,169.2324,126,1
729,172.9885,167,1
730,177.7589,181,1
731,145.7946,171,1
732,6.4718,500,0
733,143.9098,141,1
734,174.1986,159,1
735,156.1490,114,1
736,122.5706,135,1
737,-99.6234,2,0
738,156.0965,113,1
739,150.1898,105,1
740,170.2904,138,1
741,155.2093,107,1
742,132.8000,123,1
743,155.8359,128,1
744,153.9967,138,1
745,128.1357,120,1
746,116.4891,117,1
747,177.4950,135,1
748,171.5883,129,1
749,-98.4469,5,0
750,180.6220,156,1
751,145.0035,108,1
752,150.1679,111,1
753,128.0934,95,1
754,155.2560,146,1
755,175.6533,142,1
756,145.4939,102,1
757,138.9919,91,1
758,144.1934,135,1
759,169.2942,132,1
760,140.7129,120,1
761,142.5156,142,1
762,155.2433,134,1
763,133.3695,89,1
764,150.1026,112,1
765,130.3387,68,1
766,167.7105,164,1
767,160.6869,118,1
768,162.2666,306,1
769,145.3680,98,1
770,121.6525,81,1
771,162.4111,160,1
772,161.3166,127,1
773,133.3606,82,1
774,152.6470,125,1
775,130.7697,103,1
776,159.7238,117,1
777,152.1405,293,1
778,159.7718,119,1
779,-79.1520,63,0
780,165.0125,121,1
781,178.9070,147,1
782,128.9676,69,1
783,130.1179,83,1
784,146.7163,94,1
785,163.8871,136,1
786,162.8779,140,1
787,169.9961,143,1
788,153.4008,148,1
789,160.6573,121,1
790,155.8472,100,1
791,144.1187,99,1
792,169.5727,140,1
793,153.9449,109,1
794,129.9302,80,1
795,140.4881,98,1
796,144.0232,240,1
